"unixtime_full","cryopower","adc27","adc20","temp9","temp5"
"2016-06-11 09:43:52"," 92.47","  7.22","  0.29"," 8.74"," 10.97"
"2016-06-11 09:43:57"," 93.69","  7.22","  0.30"," 8.68"," 11.06"
"2016-06-11 09:44:02"," 91.44","  7.22","  0.31"," 8.77"," 10.97"
"2016-06-11 09:44:07"," 91.63","  7.34","  0.27"," 8.74"," 11.03"
"2016-06-11 09:44:12"," 92.56","  7.22","  0.28"," 8.74"," 11.00"
"2016-06-11 09:44:17"," 92.86","  7.22","  0.28"," 8.77"," 11.06"
"2016-06-11 09:44:22"," 92.07","  7.22","  0.29"," 8.74"," 11.00"
"2016-06-11 09:44:27"," 92.09","  7.22","  0.29"," 8.74"," 10.97"
"2016-06-11 09:44:32"," 91.54","  7.22","  0.27"," 8.80"," 11.00"
"2016-06-11 09:44:37"," 92.70","  7.22","  0.28"," 8.68"," 11.00"
"2016-06-11 09:44:42"," 92.85","  7.22","  0.33"," 8.74"," 11.03"
"2016-06-11 09:44:47"," 93.37","  7.22","  0.29"," 8.80"," 11.03"
"2016-06-11 09:44:52"," 92.92","  7.22","  0.28"," 8.74"," 11.00"
"2016-06-11 09:44:57"," 92.08","  7.22","  0.28"," 8.71"," 11.06"
"2016-06-11 09:45:02"," 93.30","  7.22","  0.30"," 8.71"," 11.00"
"2016-06-11 09:45:07"," 93.83","  7.22","  0.31"," 8.68"," 11.00"
"2016-06-11 09:45:12"," 92.74","  7.22","  0.29"," 8.71"," 11.00"
"2016-06-11 09:45:17"," 92.47","  7.22","  0.31"," 8.74"," 10.97"
"2016-06-11 09:45:22"," 93.01","  7.22","  0.29"," 8.71"," 11.00"
"2016-06-11 09:45:27"," 91.66","  7.22","  0.29"," 8.77"," 11.03"
"2016-06-11 09:45:32"," 93.69","  7.22","  0.27"," 8.68"," 11.03"
"2016-06-11 09:45:37"," 94.12","  7.22","  0.27"," 8.74"," 10.97"
"2016-06-11 09:45:42"," 93.07","  7.22","  0.31"," 8.74"," 11.00"
"2016-06-11 09:45:47"," 93.25","  7.22","  0.28"," 8.74"," 10.97"
"2016-06-11 09:45:52"," 93.63","  7.22","  0.28"," 8.68"," 10.94"
"2016-06-11 09:45:57"," 92.72","  7.22","  0.29"," 8.71"," 10.97"
"2016-06-11 09:46:02"," 94.41","  7.22","  0.29"," 8.68"," 11.03"
"2016-06-11 09:46:07"," 93.47","  7.22","  0.27"," 8.77"," 11.00"
"2016-06-11 09:46:12"," 93.31","  7.22","  0.28"," 8.68"," 10.94"
"2016-06-11 09:46:17"," 93.67","  7.22","  0.29"," 8.71"," 10.97"
"2016-06-11 09:46:22"," 95.07","  7.22","  0.27"," 8.68"," 10.97"
"2016-06-11 09:46:27"," 93.14","  7.22","  0.29"," 8.74"," 10.97"
"2016-06-11 09:46:32"," 92.94","  7.22","  0.28"," 8.68"," 11.03"
"2016-06-11 09:46:37"," 94.90","  7.22","  0.29"," 8.71"," 11.00"
"2016-06-11 09:46:42"," 94.00","  7.22","  0.29"," 8.68"," 11.03"
"2016-06-11 09:46:47"," 92.81","  7.22","  0.30"," 8.71"," 11.00"
"2016-06-11 09:46:52"," 92.59","  7.10","  0.28"," 8.74"," 11.00"
"2016-06-11 09:46:57"," 93.83","  7.22","  0.29"," 8.68"," 10.90"
"2016-06-11 09:47:02"," 94.41","  7.10","  0.29"," 8.68"," 10.94"
"2016-06-11 09:47:07"," 94.62","  7.22","  0.30"," 8.68"," 10.94"
"2016-06-11 09:47:12"," 93.39","  7.22","  0.28"," 8.71"," 10.94"
"2016-06-11 09:47:17"," 95.20","  7.22","  0.29"," 8.74"," 10.97"
"2016-06-11 09:47:22"," 94.00","  7.22","  0.28"," 8.62"," 11.00"
"2016-06-11 09:47:27"," 95.83","  7.22","  0.30"," 8.65"," 10.94"
"2016-06-11 09:47:32"," 94.63","  7.22","  0.28"," 8.65"," 10.90"
"2016-06-11 09:47:37"," 94.91","  7.10","  0.31"," 8.65"," 10.94"
"2016-06-11 09:47:42"," 94.06","  7.22","  0.30"," 8.68"," 10.97"
"2016-06-11 09:47:47"," 95.48","  7.22","  0.30"," 8.71"," 11.00"
"2016-06-11 09:47:52"," 94.95","  7.22","  0.27"," 8.71"," 10.97"
"2016-06-11 09:47:57"," 94.49","  7.10","  0.27"," 8.71"," 10.97"
"2016-06-11 09:48:02"," 94.92","  7.10","  0.27"," 8.68"," 10.94"
"2016-06-11 09:48:07"," 93.85","  7.22","  0.28"," 8.65"," 10.97"
"2016-06-11 09:48:12"," 94.21","  7.10","  0.28"," 8.71"," 11.00"
"2016-06-11 09:48:17"," 95.06","  7.10","  0.30"," 8.68"," 10.97"
"2016-06-11 09:48:22"," 95.46","  7.22","  0.30"," 8.68"," 10.90"
"2016-06-11 09:48:27"," 94.32","  7.22","  0.29"," 8.68"," 10.94"
"2016-06-11 09:48:32"," 94.20","  7.22","  0.29"," 8.65"," 10.94"
"2016-06-11 09:48:37"," 95.69","  7.22","  0.30"," 8.68"," 10.97"
"2016-06-11 09:48:42"," 95.01","  7.10","  0.29"," 8.68"," 10.97"
"2016-06-11 09:48:47"," 94.13","  7.10","  0.27"," 8.65"," 10.94"
"2016-06-11 09:48:52"," 95.49","  7.10","  0.29"," 8.65"," 10.97"
"2016-06-11 09:48:57"," 97.38","  7.10","  0.30"," 8.65"," 10.94"
"2016-06-11 09:49:02"," 94.98","  7.22","  0.27"," 8.68"," 10.97"
"2016-06-11 09:49:07"," 95.86","  7.10","  0.29"," 8.71"," 10.94"
"2016-06-11 09:49:12"," 95.67","  7.22","  0.30"," 8.68"," 10.94"
"2016-06-11 09:49:17"," 96.72","  7.10","  0.29"," 8.71"," 11.00"
"2016-06-11 09:49:22"," 94.68","  7.10","  0.28"," 8.65"," 11.00"
"2016-06-11 09:49:27"," 95.59","  7.22","  0.28"," 8.65"," 10.94"
"2016-06-11 09:49:32"," 95.57","  7.10","  0.28"," 8.68"," 10.97"
"2016-06-11 09:49:37"," 95.20","  7.10","  0.29"," 8.65"," 11.00"
"2016-06-11 09:49:42"," 94.82","  7.10","  0.28"," 8.68"," 10.94"
"2016-06-11 09:49:47"," 94.51","  7.22","  0.28"," 8.65"," 10.94"
"2016-06-11 09:49:52"," 95.76","  7.22","  0.28"," 8.68"," 10.90"
"2016-06-11 09:49:57"," 96.33","  7.10","  0.30"," 8.68"," 10.90"
"2016-06-11 09:50:02"," 96.87","  7.10","  0.29"," 8.68"," 10.88"
"2016-06-11 09:50:07"," 96.58","  7.10","  0.30"," 8.65"," 10.88"
"2016-06-11 09:50:12"," 94.68","  7.10","  0.28"," 8.68"," 10.90"
"2016-06-11 09:50:17"," 95.43","  7.10","  0.29"," 8.65"," 10.81"
"2016-06-11 09:50:22"," 96.17","  7.10","  0.28"," 8.74"," 10.90"
"2016-06-11 09:50:27"," 95.11","  7.10","  0.27"," 8.71"," 10.90"
"2016-06-11 09:50:32"," 95.90","  7.10","  0.28"," 8.65"," 10.94"
"2016-06-11 09:50:37"," 95.98","  7.10","  0.28"," 8.65"," 10.88"
"2016-06-11 09:50:42"," 96.21","  7.10","  0.28"," 8.68"," 10.97"
"2016-06-11 09:50:47"," 95.38","  7.10","  0.29"," 8.68"," 10.94"
"2016-06-11 09:50:52"," 97.20","  7.10","  0.29"," 8.71"," 10.90"
"2016-06-11 09:50:57"," 95.79","  7.10","  0.28"," 8.65"," 10.94"
"2016-06-11 09:51:02"," 97.04","  7.10","  0.30"," 8.65"," 10.88"
"2016-06-11 09:51:07"," 96.94","  7.22","  0.28"," 8.71"," 10.90"
"2016-06-11 09:51:12"," 97.15","  7.10","  0.27"," 8.71"," 10.84"
"2016-06-11 09:51:17"," 97.28","  7.22","  0.31"," 8.65"," 10.90"
"2016-06-11 09:51:22"," 96.79","  7.10","  0.28"," 8.68"," 10.90"
"2016-06-11 09:51:27"," 95.41","  7.22","  0.34"," 8.62"," 10.94"
"2016-06-11 09:51:32"," 96.30","  7.10","  0.32"," 8.62"," 10.90"
"2016-06-11 09:51:37"," 96.29","  7.10","  0.33"," 8.65"," 10.94"
"2016-06-11 09:51:42"," 96.82","  7.10","  0.33"," 8.68"," 10.94"
"2016-06-11 09:51:47"," 96.53","  7.10","  0.34"," 8.62"," 10.90"
"2016-06-11 09:51:52"," 94.87","  7.10","  0.32"," 8.68"," 10.94"
"2016-06-11 09:51:57"," 95.22","  7.10","  0.33"," 8.62"," 10.94"
"2016-06-11 09:52:02"," 94.34","  7.22","  0.35"," 8.65"," 10.90"
"2016-06-11 09:52:07"," 93.85","  7.10","  0.36"," 8.62"," 10.88"
"2016-06-11 09:52:12"," 92.23","  7.10","  0.33"," 8.68"," 10.90"
