IP LIN
PA -361.5 -358.5 -355.5 -352.5 -349.5 -346.5 -343.5 -340.5 -337.5 -334.5 -331.5 -328.5 -325.5 -322.5 -319.5 -316.5 -313.5 -310.5 -307.5 -304.5 -301.5 -298.5 -295.5 -292.5 -289.5 -286.5 -283.5 -280.5 -277.5 -274.5 -271.5 -268.5 -265.5 -262.5 -259.5 -256.5 -253.5 -250.5 -247.5 -244.5 -241.5 -238.5 -235.5 -232.5 -229.5 -226.5 -223.5 -220.5 -217.5 -214.5 -211.5 -208.5 -205.5 -202.5 -199.5 -196.5 -193.5 -190.5 -187.5 -184.5 -181.5 -178.5 -175.5 -172.5 -169.5 -166.5 -163.5 -160.5 -157.5 -154.5 -151.5 -148.5 -145.5 -142.5 -139.5 -136.5 -133.5 -130.5 -127.5 -124.5 -121.5 -118.5 -115.5 -112.5 -109.5 -106.5 -103.5 -100.5 -97.5 -94.5 -91.5 -88.5 -85.5 -82.5 -79.5 -76.5 -73.5 -70.5 -67.5 -64.5 -61.5 -58.5 -55.5 -52.5 -49.5 -46.5 -43.5 -40.5 -37.5 -34.5 -31.5 -28.5 -25.5 -22.5 -19.5 -16.5 -13.5 -10.5 -7.5 -4.5 -1.5 1.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 0 0 1 0.0
AP 0 1 1 0.0
AP 0 2 1 0.0
AP 0 3 1 0.0
AP 0 4 1 4.30147e-318
AP 0 5 1 1.15527e-293
AP 0 6 1 3.27027e-270
AP 0 7 1 9.75716e-248
AP 0 8 1 3.06832e-226
AP 0 9 1 1.01698e-205
AP 0 10 1 3.55276e-186
AP 0 11 1 1.30814e-167
AP 0 12 1 5.0767e-150
AP 0 13 1 2.07657e-133
AP 0 14 1 8.95256e-118
AP 0 15 1 4.06805e-103
AP 0 16 1 1.94833e-89
AP 0 17 1 9.83503e-77
AP 0 18 1 5.23271e-65
AP 0 19 1 2.93437e-54
AP 0 20 1 1.73437e-44
AP 0 21 1 1.08045e-35
AP 0 22 1 7.09422e-28
AP 0 23 1 4.90956e-21
AP 0 24 1 3.58112e-15
AP 0 25 1 2.75316e-10
AP 0 26 1 2.23091e-06
AP 0 27 1 0.00190533
AP 0 28 1 0.171512
AP 0 29 1 1.62726
AP 0 30 1 1.62726
AP 0 31 1 0.171512
AP 0 32 1 0.00190533
AP 0 33 1 2.23091e-06
AP 0 34 1 2.75316e-10
AP 0 35 1 3.58112e-15
AP 0 36 1 4.90956e-21
AP 0 37 1 7.09422e-28
AP 0 38 1 1.08045e-35
AP 0 39 1 1.73437e-44
AP 0 40 1 2.93437e-54
AP 0 41 1 5.23271e-65
AP 0 42 1 9.83503e-77
AP 0 43 1 1.94833e-89
AP 0 44 1 4.06805e-103
AP 0 45 1 8.95256e-118
AP 0 46 1 2.07657e-133
AP 0 47 1 5.0767e-150
AP 0 48 1 1.30814e-167
AP 0 49 1 3.55276e-186
AP 0 50 1 1.01698e-205
AP 0 51 1 3.06832e-226
AP 0 52 1 9.75716e-248
AP 0 53 1 3.27027e-270
