,Unnamed: 0,ID,Name,Other Name,"Ra
(deg)","Dec
(deg)","l
(deg)","b
(deg)","Outburst
Year",Date (YYYY/MM/DD.DDDD),Var. type,"Amp.
(mag)","Vmax
(mag)","t2
(day)","t3
(day)","FWHM Hα
(km/s)","Orb. period
(day)","Dist. 
(kpc)",Dist. Err. (kpc),"E(B-V)
(mag)",E(B-V) Err. (mag),"_r
(arcsec)","mode dist
(pc)","median dist
(pc)","infimum
(pc)","supremum
(pc)",Name.1,MJD,IJD
0,0,225,V3890 Sgr,N Sgr 1962,277.68,-24.019,9.204,-6.443,"1962, 1990",,NR,7.4 (V),8.1,6.0,14,2140,519.7,7.0,1.6,0.900 ± 0.300,,0.092,4218.0,4880.5,3024.1,8722.3,V3890 Sgr,,
1,1,54,V394 CrA,N CrA 1949,270.108,-39.01,352.82199999999995,-7.723,"1949, 1987",,NR,11.2 (V),7.2,2.4,5.2,4600,1.51600,2.0,,: 0.200,,0.908,3225.0,4131.6,1973.9,8709.5,V394 CrA,,
2,2,172,V745 Sco,,268.842,-33.25,357.358,-3.999,"1937, 1989",,NR,9.2),9.4,6.2,9,3600,510,3.5,0.85,1.000 ± 0.200,,0.107,,,,,V745 Sco,,
3,3,101,IM Nor,N Nor 1920,234.861,-52.322,327.098,2.485,"1920, 2002",,NR,9.8 (V),8.5,50.0,80,2380,0.10200,2.4,0.8,0.800 ± 0.200,,0.113,1311.7,2290.2,907.6,6533.6,IM Nor,,
4,4,3,CI Aql,,283.015,-1.477,31.688,-0.812,"1917, 1941, 2000",,NR,7.7 (V),9.0,25.0,32,2250,0.61800,3.9,0.5,0.920 ± 0.220,,0.166,3061.8,3227.9,2532.3,4470.4,CI Aql,,
5,5,113,V2487 Oph,N Oph 1998,262.999,-19.232,6.604,7.775,"1900, 1998",,NR,8.2 (V),9.5,6.0,8,10000,,1.12,0.33,0.400 ± 0.080,,0.124,5035.1,5780.1,3494.4,10176.8,V2487 Oph,,
6,6,105,RS Oph,N Oph 1898,267.555,-6.707999999999998,19.8,10.372,"1898, 1907, 1933, 1945, 1958, 1967, 1985, 2006",,NR,6.2 (V),4.8,7.0,14,3930,455.72,4.2,0.9,0.730 ± 0.100,,0.625,2263.0,2332.1,1935.4,2936.7,RS Oph,,
7,7,147,T Pyx,N Pyx 1890,136.173,-32.38,257.207,9.707,"1890, 1902, 1920, 1944, 1967",,NR,9.1 (V),6.4,32.0,62,5350,0.07600,4.8,0.5,0.250 ± 0.020,,0.038,3277.6,3413.8,2753.7,4500.7,T Pyx,,
8,8,56,T CrB,N CrB 1866,239.875,25.92,42.374,48.165,"1866, 1946",,NR,7.3 (V),2.5,4.0,6,4980,227.55,0.75,0.32,0.100 ± 0.080,,0.199,824.6,827.3,775.7,96640.2,T CrB,,
9,9,150,U Sco,N Sco 1863,245.628,-17.878,357.6690000000001,21.869,"1863, 1906, 1917, 1936, 1945, 1969, 1979, 1987, 1999, 2010",,NR,10.1 (V),7.5,1.0,3,5700,1.23100,12.0,2.0,0.140 ± 0.120,,0.313,,,,,U Sco,,
