Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0.62708,0.84578,1.433,2.6016,0,0.0034996,8.8007e-06,0
0.012,0.015,0,0.17032,0.91887,0.77841,0.70662,0,0.0028516,4.7712e-05,0
0.015,0.018,0.060919,0.2787,1.5036,0.63688,2.0235,0.061814,0.01011,3.9114e-05,0
0.018,0.022,0.062823,0.86223,2.0886,2.7585,2.3252,0.076495,0.01203,6.7684e-05,0
0.022,0.027,0.12308,0.84452,2.2753,1.8015,3.7374,0.14154,0.023243,8.2178e-05,0
0.027,0.032,0.20428,1.3045,3.2953,6.0212,5.5123,0.17334,0.03336,0.00011804,0
0.032,0.039,0.33576,2.0808,4.9045,11.533,10.193,0.4088,0.041162,0.00010287,0
0.039,0.048,0.84414,4.816,12.607,22.466,23.578,0.77496,0.04771,9.8365e-05,9.0501e-08
0.048,0.058,1.1365,7.0953,19.352,33.135,33.617,1.0471,0.048351,7.9447e-05,8.5682e-07
0.058,0.071,1.2703,7.9553,21.128,37.583,36.621,1.184,0.047892,7.5101e-05,2.1313e-06
0.071,0.086,1.1759,7.1208,19.541,34.167,34.913,1.1557,0.04533,6.8929e-05,2.2673e-06
0.086,0.105,0.93547,6.1297,15.871,29.064,27.989,0.95837,0.041135,6.2018e-05,2.4295e-06
0.105,0.127,0.73515,4.3479,11.842,21.693,21.388,0.74533,0.034419,5.6921e-05,2.4439e-06
0.127,0.155,0.56109,3.3288,8.5505,16.193,15.969,0.59032,0.030005,5.0873e-05,2.8785e-06
0.155,0.188,0.41856,2.4585,6.5011,11.998,11.669,0.42056,0.024112,4.3435e-05,2.7871e-06
0.188,0.229,0.2773,1.6927,4.4692,8.2005,8.0062,0.30238,0.019575,3.7102e-05,2.0714e-06
0.229,0.278,0.22186,1.3159,3.5796,6.8049,6.3211,0.23682,0.01645,3.7123e-05,5.4819e-06
0.278,0.338,0.18929,1.1421,3.0772,5.3956,5.4017,0.20661,0.014769,3.7554e-05,5.0936e-06
0.338,0.411,0.16787,0.99931,2.5551,4.6898,4.7094,0.17774,0.01288,3.3564e-05,4.4558e-06
0.411,0.472,0.16116,0.96434,2.5827,4.5063,4.5739,0.17182,0.012759,3.7813e-05,5.4916e-06
0.472,0.484,0.17171,1.0643,2.6589,4.964,4.6121,0.18512,0.01642,0.003136,0.0033791
0.484,0.5,0.19481,1.2594,3.1541,5.818,5.4388,0.21315,0.017293,3.4563e-05,1.9962e-08
0.5,0.505,0.28599,1.7235,4.4301,7.7573,7.6415,0.30844,0.02344,4.8517e-05,0
0.505,0.517,1.062,6.5244,16.558,31.63,29.725,1.1841,0.10887,0.00021549,0
0.517,0.5668,0,0,0,0,0,0,0,0,0
0.5668,0.61781,0,0,0,0,0,0,0,0,0
0.61781,0.67342,0,0,0,0,0,0,0,0,5.6612e-09
0.67342,0.73402,0,0,0,0,0,0,0,0,0
0.73402,0.80008,0,0,0,0,0,0,0,0,0
0.80008,0.87209,0,0,0,0,0,0,0,0,0
0.87209,0.95058,0,0,0,0,0,0,0,0,0
0.95058,1.0361,0,0,0,0,0,0,0,0,0
1.0361,1.1294,0,0,0,0,0,0,0,0,0
1.1294,1.231,0,0,0,0,0,0,0,0,0
1.231,1.269,0,0,0,0,0,0,0,1.7133e-07,1.8153e-07
1.269,1.281,0,0,0,0,0,0,0,3.0371e-07,3.218e-07
1.281,1.3835,0,0,0,0,0,0,0,0,0
1.3835,1.4942,0,0,0,0,0,0,0,0,0
1.4942,1.6137,0,0,0,0,0,0,0,0,0
1.6137,1.7428,0,0,0,0,0,0,0,0,0
1.7428,1.803,0,0,0,0,0,0,0,0,0
1.803,1.815,0,0,0,0,0,0,0,0,0
1.815,1.9602,0,0,0,0,0,0,0,0,0
1.9602,2.117,0,0,0,0,0,0,0,0,0
2.117,2.2864,0,0,0,0,0,0,0,0,0
2.2864,2.4693,0,0,0,0,0,0,0,0,0
