Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,4.5754e-45,0,0,0,0,0,0,0,0
0.015,0.018,7.0573e-45,1.4249e-47,0,0,0,0,3.2446e-16,9.8587e-15,3.9541e-14
0.018,0.022,1.3448e-43,5.6299e-46,4.4628e-49,0,0,0,4.2712e-15,6.8564e-14,3.7567e-13
0.022,0.027,4.0314e-43,1.5987e-45,4.3638e-49,0,0,2.2005e-16,2.1964e-14,2.1838e-13,9.6542e-13
0.027,0.032,6.3817e-43,2.2896e-45,3.4784e-48,0,0,0,2.6268e-14,2.7643e-13,1.5395e-12
0.032,0.039,6.746e-43,2.5691e-45,2.63e-48,0,0,1.3605e-16,2.7554e-14,3.5282e-13,1.9793e-12
0.039,0.048,5.8897e-43,2.2335e-45,2.1183e-48,0,0,5.0458e-16,2.6616e-14,3.2333e-13,1.627e-12
0.048,0.058,5.2252e-43,1.9845e-45,2.0897e-48,0,0,1.0208e-16,2.0932e-14,2.7443e-13,1.4018e-12
0.058,0.071,4.0037e-43,1.4826e-45,2.1288e-48,0,0,2.0423e-16,1.6421e-14,1.9856e-13,1.2731e-12
0.071,0.086,3.2514e-43,1.1978e-45,1.6258e-48,0,0,0,1.4037e-14,1.3979e-13,8.4778e-13
0.086,0.105,2.578e-43,1.0533e-45,1.6919e-48,0,0,1.2582e-16,1.1079e-14,1.404e-13,7.2871e-13
0.105,0.127,2.0473e-43,8.0595e-46,1.6338e-48,0,0,1.9758e-16,7.5229e-15,1.1164e-13,5.9338e-13
0.127,0.155,1.5302e-43,6.7204e-46,6.7055e-49,0,0,2.1257e-16,4.7682e-15,7.4287e-14,4.2423e-13
0.155,0.188,1.2529e-43,5.9383e-46,9.2044e-49,0,0,6.3289e-17,3.6172e-15,6.0081e-14,3.4409e-13
0.188,0.229,1.0229e-43,5.5107e-46,7.5467e-49,0,0,4.9309e-17,4.348e-15,5.6618e-14,2.7311e-13
0.229,0.278,9.587e-44,5.0334e-46,4.8567e-49,0,0,6.6967e-17,3.2608e-15,4.2642e-14,2.6254e-13
0.278,0.338,8.7875e-44,4.6951e-46,8.7849e-49,0,3.3786e-17,9.3823e-17,3.7733e-15,4.7027e-14,2.7552e-13
0.338,0.411,8.2719e-44,4.1387e-46,8.8862e-49,0,0,8.0781e-17,4.0695e-15,4.2991e-14,2.8758e-13
0.411,0.5,7.8148e-44,4.0397e-46,4.7386e-48,0,5.4913e-17,1.3666e-16,4.6667e-15,7.5978e-14,4.2086e-13
0.5,0.508,9.0437e-44,5.2585e-46,0,0,0,0,2.8425e-15,4.1128e-14,2.1437e-13
0.508,0.509,7.5773e-44,4.647e-46,0,0,0,0,3.6469e-15,3.6246e-14,1.2267e-13
0.509,0.51,1.2104e-43,3.4644e-46,0,0,0,0,1.1603e-15,2.7052e-14,2.9996e-13
0.51,0.511,2.308e-42,1.2288e-44,4.1195e-48,0,0,0,9.2961e-15,5.4737e-13,4.0624e-12
0.511,0.512,0,0,0,0,0,0,0,3.9627e-15,0
0.512,0.513,0,0,0,0,0,0,0,1.584e-14,4.2615e-14
0.513,0.514,0,0,0,0,0,0,0,7.9187e-15,2.1337e-14
0.514,0.52,0,0,0,0,0,0,1.703e-15,9.2357e-15,4.6209e-14
0.52,0.5668,0,0,0,0,0,9.6961e-17,1.5589e-15,1.0098e-14,5.6861e-14
0.5668,0.61781,0,0,0,0,0,4.4931e-17,1.6655e-15,1.1555e-14,4.3518e-14
0.61781,0.67342,0,0,0,0,0,4.1625e-17,1.7473e-15,9.1991e-15,4.5623e-14
0.67342,0.73402,0,0,0,0,8.2197e-17,5.7217e-17,1.7433e-15,1.1761e-14,5.6994e-14
0.73402,0.80008,0,0,0,0,2.5104e-17,5.1679e-17,1.9146e-15,1.158e-14,6.0992e-14
0.80008,0.87209,0,0,0,0,0,1.6098e-17,1.7306e-15,1.197e-14,5.7257e-14
0.87209,0.95058,0,0,0,0,0,4.3548e-17,1.5624e-15,1.2768e-14,5.2344e-14
0.95058,1.0361,0,0,0,0,0,0,1.8737e-15,1.2344e-14,5.4952e-14
1.0361,1.1294,0,0,0,0,0,1.2555e-17,2.6462e-15,1.6978e-14,7.0001e-14
1.1294,1.231,0,0,0,0,0,5.5885e-17,2.7164e-15,2.0563e-14,9.6347e-14
1.231,1.3418,0,0,0,0,0,3.0748e-17,5.7846e-15,6.8296e-14,4.275e-13
1.3418,1.4626,0,0,0,0,0,0,0,0,0
1.4626,1.5942,0,0,0,0,0,0,0,0,0
1.5942,1.7377,0,0,0,0,0,0,0,0,0
1.7377,1.8941,0,0,0,0,0,0,0,0,0
1.8941,2.0646,0,0,0,0,0,0,0,0,0
2.0646,2.2504,0,0,0,0,0,0,0,0,0
2.2504,2.4529,0,0,0,0,0,0,0,0,0
2.4529,2.6737,0,0,0,0,0,0,0,0,0
