Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,0,0,0,0,0,0,0,0,0
0.015,0.018,1.7741e-10,1.0885e-10,1.6991e-09,4.8031e-10,5.0537e-11,2.4608e-10,0,1.4641e-12,0
0.018,0.022,1.2306e-09,3.4753e-09,6.2832e-09,5.5923e-09,1.387e-09,7.8844e-10,8.9759e-12,1.1721e-11,2.3856e-10
0.022,0.027,7.6433e-09,1.2983e-08,2.1405e-08,1.4089e-08,5.7254e-09,2.2364e-09,4.1169e-11,7.508e-11,8.2538e-10
0.027,0.032,1.2492e-08,2.3603e-08,3.121e-08,2.4584e-08,8.6177e-09,4.1331e-09,6.8548e-11,1.906e-10,1.3153e-09
0.032,0.039,1.3783e-08,2.6385e-08,4.0773e-08,2.6665e-08,1.0143e-08,4.7131e-09,7.1664e-11,2.102e-10,1.7851e-09
0.039,0.048,1.5241e-08,2.4727e-08,3.777e-08,2.7674e-08,1.0377e-08,4.8e-09,6.8427e-11,1.7614e-10,1.659e-09
0.048,0.058,1.2663e-08,2.3478e-08,3.3099e-08,2.3616e-08,9.1662e-09,4.0355e-09,6.1043e-11,1.7799e-10,1.4093e-09
0.058,0.071,1.0785e-08,1.9191e-08,2.667e-08,1.8474e-08,7.467e-09,3.1613e-09,4.8014e-11,1.3175e-10,1.0993e-09
0.071,0.086,8.5219e-09,1.4431e-08,2.1074e-08,1.5571e-08,5.5367e-09,2.6231e-09,3.8249e-11,1.0674e-10,8.9131e-10
0.086,0.105,7.6247e-09,1.23e-08,1.7035e-08,1.3031e-08,4.6885e-09,2.1405e-09,3.1711e-11,9.0755e-11,7.2292e-10
0.105,0.127,6.0081e-09,8.7669e-09,1.2689e-08,9.849e-09,3.4228e-09,1.582e-09,2.1264e-11,8.6186e-11,5.4551e-10
0.127,0.155,4.7014e-09,7.3592e-09,1.0313e-08,7.1831e-09,2.6891e-09,1.1923e-09,1.746e-11,5.6383e-11,4.0371e-10
0.155,0.188,4.5394e-09,6.4198e-09,1.0047e-08,6.8684e-09,2.4077e-09,1.0914e-09,1.5322e-11,4.4766e-11,3.2646e-10
0.188,0.229,3.8113e-09,5.3643e-09,7.1672e-09,5.399e-09,2.0009e-09,8.4272e-10,1.3197e-11,3.0039e-11,3.1741e-10
0.229,0.278,3.3558e-09,4.8828e-09,6.4842e-09,5.2193e-09,1.7976e-09,7.5767e-10,1.1283e-11,3.3912e-11,2.6909e-10
0.278,0.338,3.1981e-09,4.5451e-09,6.2885e-09,4.6578e-09,1.7162e-09,7.2844e-10,1.1132e-11,2.9747e-11,2.4494e-10
0.338,0.411,3.0949e-09,4.1725e-09,5.7611e-09,4.2965e-09,1.4757e-09,6.7304e-10,1.013e-11,2.9923e-11,2.4094e-10
0.411,0.5,2.987e-09,3.9833e-09,5.4908e-09,3.9816e-09,1.4828e-09,6.2809e-10,9.5983e-12,3.0562e-11,2.3909e-10
0.5,0.508,3.7223e-09,5.0434e-09,5.9856e-09,4.5989e-09,1.6525e-09,7.1027e-10,9.6066e-12,2.9007e-11,2.6105e-10
0.508,0.509,3.2573e-09,3.8227e-09,4.3552e-09,4.987e-09,1.5647e-09,6.0988e-10,9.5009e-12,4.1229e-11,2.4631e-10
0.509,0.51,2.7733e-09,4.912e-09,6.8182e-09,2.8839e-09,2.0942e-09,6.6616e-10,9.2397e-12,2.9115e-11,1.6931e-10
0.51,0.511,1.8837e-08,2.7984e-08,3.7322e-08,2.8484e-08,9.2479e-09,4.3435e-09,6.1641e-11,1.835e-10,1.1523e-09
0.511,0.512,6.2278e-08,8.1187e-08,1.1372e-07,8.0792e-08,2.6345e-08,1.0912e-08,1.6351e-10,3.5316e-10,2.5851e-09
0.512,0.513,0,0,0,0,0,0,6.2694e-13,2.0298e-11,2.3656e-11
0.513,0.514,0,0,0,0,0,0,1.2532e-12,4.061e-12,7.0899e-11
0.514,0.52,0,0,0,0,0,0,1.3593e-12,8.1252e-12,3.9361e-11
0.52,0.5668,0,0,0,0,0,0,1.0077e-12,8.3894e-12,6.273e-11
0.5668,0.61781,0,0,0,0,0,0,1.1293e-12,6.7605e-12,7.4081e-11
0.61781,0.67342,0,0,0,0,0,5.0246e-13,1.5299e-12,8.5414e-12,6.1398e-11
0.67342,0.73402,0,0,0,0,0,0,1.1764e-12,8.0298e-12,7.1634e-11
0.73402,0.80008,0,0,0,0,0,8.3312e-13,1.4873e-12,8.2287e-12,6.9572e-11
0.80008,0.87209,0,0,0,0,0,0,1.4275e-12,8.0544e-12,7.2288e-11
0.87209,0.95058,0,0,0,0,0,0,1.4465e-12,8.6361e-12,7.7108e-11
0.95058,1.0361,0,0,0,0,0,0,1.4314e-12,8.8959e-12,8.4869e-11
1.0361,1.1294,0,0,0,0,0,2.922e-13,1.822e-12,1.2571e-11,1.016e-10
1.1294,1.231,0,0,0,0,0,5.4335e-13,2.2513e-12,1.3819e-11,1.2486e-10
1.231,1.3418,0,0,0,0,5.6133e-13,7.2746e-13,1.1042e-11,5.9536e-11,4.5145e-10
1.3418,1.4626,0,0,0,0,0,0,0,0,0
1.4626,1.5942,0,0,0,0,0,0,0,0,0
1.5942,1.7377,0,0,0,0,0,0,0,0,0
1.7377,1.8941,0,0,0,0,0,0,0,0,0
1.8941,2.0646,0,0,0,0,0,0,0,0,0
2.0646,2.2504,0,0,0,0,0,0,0,0,0
2.2504,2.4529,0,0,0,0,0,0,0,0,0
2.4529,2.6737,0,0,0,0,0,0,0,0,0
